en,ja
flight,フライト
floating-point,浮動小数点
flow,フロー
flush,フラッシュ
font lock,フォントロック
font,フォント
footers,フッタ
foreground process,フォアグラウンドプロセス
foreground,フォアグラウンド
foreign data wrapper,データラッパの作成
foreign data wrapper,外部データラッパ
foreign data,外部データ
foreign key,外部キー
foreign server,外部サーバ
foreign table,外部テーブル
forest,フォレスト
fork,フォーク
form feed,改ページ
form,フォーム
format code,書式コード
format specifiers,正規集合
format,フォーマット
format,書式
fragment,フラグメント
frame options,フレームオプション
frame,フレーム
framework,フレームワーク
free space map,空き領域マップ
free,フリー
freeze,フリーズ
Freiberg,フライブルグ
French,フランス
French,フランス語
front-end applications,フロントエンドアプリケーション
front-end library,フロントエンドライブラリ
front-end,フロントエンド
frontend message,フロントエンドメッセージ
frontend programs,フロントエンドプログラム
frontend tool,フロントエンドツール
frontend,フロントエンド
frontend-backend,フロントエンド/バックエンド
full backup,フルバックアップ
full disk,フルディスク
full installation,フルインストレーション
full name,フルネーム
full page,フルページ
full path,フルパス
full text search,全文テキスト検索
full text search,全文検索
full-index scan,フルインデックススキャン
full-text indexing,フルテキストインデックス
function,ファンクション
function,関数
functional dependency,関数依存
gap,ギャップ
garbage data,ごみデータ
garbage data,ゴミデータ
gaussian distribution,ガウス分布
Gaza,ガザ
GB of memory,ギガバイトメモリ
GB,ギガバイト
gene,遺伝子
generator pool,ジェネレータプール
generator,ジェネレータ
generic,一般的
genetic algorithm,遺伝的アルゴリズム
genetic query optimization,遺伝的問い合わせ最適化
genetic,遺伝的
geometric data type,幾何データ型
Germany,ドイツ
getting started,さあ始めましょう
Gigabyte,ギガバイト
GIN,GIN
GiST,GiST
global data,グローバルデータ
global level,グローバルレベル
global objects,グローバルオブジェクト
global option,グローバルオプション
Global pointer,グローバルポインタ
global system tables,グローバルシステムテーブル
global tables,グローバルテーブル
global,グローバル
GMT offset timezone,GMT オフセットタイムゾーン
GNU,GNU
grammar rules,文法ルール
grant options,グラントオプション
graph,グラフ
graphical installer package,グラフィカルインストーラパッケージ
graphical installer,グラフィカルインストーラ
graphical user interface,グラフィカルユーザインタフェース
graphical,グラフィカル
greater than or equal,以上
greater than,より大きい
greater than,大なり
greedy,最短マッチを行わない（欲張り型）
greedy,欲張りの
Greek,ギリシャ
Greenwich,グリニッジ
Gregorian calendar,グレゴリオ暦
Gregorian,グレゴリオ暦
Gregory XIII,ローマ教皇グレゴリウス13世
group commit,グループコミット
group membership,グループメンバシップ
group role,グループロール
group,グループ
grouping set,グループ化セット
grouping,グループ化
guest,ゲスト
guide,ガイド
guidelines,ガイドライン
hack,実装
Haiti,ハイチ
handle,ハンドル
handler,ハンドラ
handling,ハンドリング
handshake,ハンドシェーク
hang,ハング
Hangul code,ハングルコード
Hangul,ハングル
hard limit,ハードリミット
hard links,ハードリンク
hard,ハード
hard-coded,ハードコード
hard-coding,ハードコーディング
hardcoded,ハードコーディングされた
hardware addresses,ハードウェアアドレス
hardware architecture,ハードウェアアーキテクチャ
hardware clocks,ハードウェアクロック
hardware errors,ハードウェアエラー
hardware keys,ハードウェアキー
hardware stacks,ハードウェアスタック
hardware,ハードウェア
hash algorithm,ハッシュアルゴリズム
hash block size,ハッシュブロックサイズ
hash buckets,ハッシュバケット
hash code,ハッシュコード
hash index methods,ハッシュインデックスメソッド
hash index,ハッシュインデックス
hash indexing support,ハッシュインデックスサポート
hash join,ハッシュ結合
hash keys,ハッシュキー
hash marks,ハッシュマーク
hash node,ハッシュノード
hash strategies,ハッシュストラテジ
hash support,ハッシュサポート
hash table size,ハッシュテーブルサイズ
hash table,ハッシュテーブル
hash,ハッシュ
hash-bucket-level locks,ハッシュバケットレベルロック
Hawaii,ハワイ
header block,ヘッダブロック
header bytes,ヘッダバイト
header field,ヘッダフィールド
header file,ヘッダファイル
header,ヘッダ
header,ヘッダー
heading,見出し
heap entry,ヒープエントリ
heap memory,ヒープメモリ
heap page image,ヒープページイメージ
heap page,ヒープページ
heap pointers,ヒープポインタ
heap relation,ヒープリレーション
heap tuple,ヒープタプル
heap,ヒープ
heap-only tuples,ヒープオンリータプル
heap_getattr,heap_getattr
heap_getsysattr,heap_getsysattr
HEAP_HASNULL,HEAP_HASNULL
HEAP_HASOID,HEAP_HASOID
heartbeat,ハートビート
heavy user,ヘビーユーザ
Hebrew,ヘブライ
Hebron,ヘブロン
help text,ヘルプテキスト
help,ヘルプ
helper,ヘルパ
Heuristic,ヒューリスティック
high availability,高可用性
high temperature,最高気温
highlighting,ハイライト
hint message,ヒントメッセージ
hint,ヒント
hint-bit,ヒントビット
histogram bins,度数分布ビン
histogram bucket,ヒストグラムバケット
histogram,ヒストグラム
histogram,度数分布
historical changes,歴史的変更
historical corrections,歴史的な訂正
history,歴史
Hit,ヒット
holder,ホルダー
home directory,ホームディレクトリ
hook,フック
host address,ホストアドレス
host language,ホスト言語
host mask,ホストマスク
host program,ホストプログラム
host system,ホストシステム
host variable,ホスト変数
host,ホスト
host-based,ホストベース
hosting,ホスティング
hot backups,ホットバックアップ
hot standby feedback message,ホットスタンバイフィードバックメッセージ
hot standby feedback,ホットスタンバイフィードバック
hot standby parameter reference,ホットスタンバイパラメータリファレンス
hot standby parameters,ホットスタンバイパラメータ
hot standby replication,ホットスタンバイレプリケーション
hot standby server,ホットスタンバイサーバ
hot standby sessions,ホットスタンバイセッション
hot standby tests,ホットスタンバイテスト
hot standby,ホットスタンバイ
hot,ホット
hot-standby mode,ホットスタンバイモード
HTML,HTML
huge pages,huge pages
hyperlinks,ハイパーリンク
Hyphen,ハイフン
hypothetical,仮定の
hypothetical-set aggregate,仮想集合集約
IBM,IBM
ice cream,アイスクリーム
Iceland,アイスランド
idea,アイディア
identifier,識別子
ill-advised,思慮に欠けた
image,イメージ
image,画像
immediate shutdown,即時シャットダウン
impact,インパクト
implementation,実装
import library,インポートライブラリ
import,インポート
inch,インチ
include directory,インクルードディレクトリ
include files,インクルードファイル
include path,インクルードパス
include,include
increment,インクリメント
indent,インデント
index access cost,インデックスアクセスコスト
index access methods,インデックスアクセスメソッド
index access path,インデックスアクセスパス
index access,インデックスアクセス
index adviser plugin,インデックスアドバイザプラグイン
index approach,インデックスアプローチ
index blocks,インデックスブロック
index cost,インデックスコスト
index data,インデックスデータ
index entry,インデックスエントリ
index file,インデックスファイル
index key,インデックスキー
index metapages,インデックスメタページ
index methods,インデックスメソッド
index page,インデックスページ
index pin,インデックスピン
index relation,インデックスリレーション
index scan node,インデックススキャンノード
index scan,インデックススキャン
index scan,インデックス走査
index semantics,インデックスセマンティックス
index size,インデックスサイズ
index support,インデックスサポート
index tree,インデックスツリー
index tuple headers,インデックスタプルヘッダ
index tuple,インデックスタプル
index,インデックス
index-level,インデックスレベル
index-only scan,インデックスオンリースキャン
indexing project,インデックスプロジェクト
indicator,指示子
individuals,個体
Indonesia,インドネシア
informix compatibility mode,informix互換モード
Infrastructure,インフラストラクチャ
inheritance,継承
inherits,継承
initialization fork,初期化フォーク
injection,インジェクション
inline blocks,インラインブロック
inline handler,インラインハンドラ
inline,インライン
input abbreviations,入力簡略形
inserting,挿入
install scripts,インストールスクリプト
installation directory,インストレーションディレクトリ
installation instructions,インストール手順
installation tree,インストールツリー
installation,インストール
installation,インストレーション
installer,インストーラ
instance data,インスタンスデータ
instance,インスタンス
instance-level,インスタンスレベル
instances of parameter,パラメータインスタンス
instead of,代わり
integer,整数
integrity constraints,整合性制約
interactive terminal,対話式端末
interactive,インタラクティブ
interface library,インタフェースライブラリ
interface routines,インタフェースルーチン
interface support,インタフェースサポート
interface,インターフェース
interface,インターフェイス
interface,インタフェース
interlock,インターロック
intermediate table,中間テーブル
internal node,内部ノード
internet address,インターネットアドレス
internet,インターネット
interpolate,差し替え
interpreter,インタプリタ
intersection,積
interval,インターバル
interval,時間間隔
introduction,序文
invalid record,無効なレコード
inverse distribution,逆分散
inversion,転置
invocation,呼び出し
Iraq,イラク
iso,iso
isolation level,隔離レベル
Israel,イスラエル
istory file,ヒストリファイル
Italy,イタリア
item layout,アイテムレイアウト
item pointers,アイテムポインタ
item,アイテム
item,項目
iterator interface,イテレータインタフェース
iterator,イテレータ
itself,自分自身
JDBC,JDBC
jet engine,ジェットエンジン
job,ジョブ
Joe,ジョー
join condition,結合条件
join,結合
Jordan,ヨルダン
Journal,ジャーナル
journaled file systems,ジャーナルファイルシステム
Journaling,ジャーナリング
JSON,JSON
jsonb,jsonb
Julian calendar,ユリウス暦
Julian date,ユリウス日
Julius Caesar,ユリウス・カエサル
junction points,ジャンクションポイント
junk,ゴミ
Junk,ジャンク
just-in-time,ジャストインタイム
Kaliningrad,カリーニングラード
Kathmandu,カトマンズ
kB pages,キロバイトページ
kB,キロバイト
keepalive message,キープアライブメッセージ
keepalive socket option,キープアライブソケットオプション
keepalives,キープアライブ
Kerberos,Kerberos
Kernel cache,カーネルキャッシュ
Kernel call,カーネルコール
Kernel error message,カーネルエラーメッセージ
Kernel log messages,カーネルログメッセージ
Kernel message,カーネルメッセージ
Kernel parameters,カーネルパラメータ
Kernel resources,カーネルリソース
kernel source code,カーネルソースコード
Kernel stack,カーネルスタック
Kernel tuning,カーネルチューニング
Kernel vendor,カーネルベンダ
Kernel,カーネル
key data,キーデータ
key error,キーエラー
key field,キーフィールド
key file,キーファイル
key trigger,キートリガ
key word,キーワード
key,キー
kill,終了させる シグナルを送る
kilobytes,キロバイト
Kiribati,キリバス
Kirov,キーロフ
kit,キット
knowledge based system,知識ベースシステム
KSQO,KSQO
label file,ラベルファイル
label path,ラベル経路
label provider,ラベルプロバイダ
label text,ラベルテキスト
label trees,ラベルツリー
label,label
label,ラベル
label-based,ラベルベース
language extension,言語拡張
language,言語
laptops,ラップトップ
large files,ラージファイル
large object data,ラージオブジェクトデータ
large object file,ラージオブジェクトファイル
large object interface,ラージオブジェクトインタフェース
large object,ラージオブジェクト
large objects,ラージオブジェクト
large,ラージ
latch,ラッチ
latency,レイテンシ
LaTeX,LaTeX
Latin,ラテン
launcher daemon,ランチャデーモン
launcher,ランチャ
layer,レイヤー
layout,レイアウト
leaf datum,リーフデータ
leaf index,リーフインデックス
leaf level,リーフレベル
leaf node,リーフノード
leaf page,リーフページ
leaf tuples,リーフタプル
leaf,リーフ
leak,リーク
leak-proof,リークプルーフ
left join,左結合
left outer join,左外部結合
legal notice,法的告知
length,長さ
less than or equal,以下
less than,より小さい
level access,レベルアクセス
level lock mode,レベルロックモード
level lock,レベルロック
level trigger,レベルトリガ
level,レベル
lexemes,語彙素
lexer,レクサ
lexer,字句解析
lexical,レキシカル
lexical,語彙
libpq,libpq
library directory,ライブラリディレクトリ
library files,ライブラリファイル
library finalization function,ライブラリ最終処理関数
library initialization function,ライブラリ初期化処理関数
library installed,ライブラリインストール済
library path,ライブラリパス
library routines,ライブラリルーチン
library support,ライブラリサポート
library,ライブラリ
libxslt,libxslt
Libya,リビア
License,ライセンス
Liechtenstein,リヒテンシュタイン
like,ライク
limitation,制限
line feed,改行文字
line feed,改行コード
line numbers,行番号
line segment,線分
line,直線
linear regression,線形リグレッション
Linear,リニア
link editor,リンクエディタ
link mode,リンクモード
link symbol,リンクシンボル
link,リンク
linked list data,リンクリストデータ
linked list,リンクリスト
linker error,リンカエラー
linker flag,リンカフラグ
linker options,リンクオプション
linker,リンカ
list,リスト
listen,監視する
listener,リスナ
literal data,リテラルデータ
literal parser,リテラルパーサ
literal processor,リテラルプロセッサ
literal text,リテラルテキスト
literal,リテラル
Lithuania,リトアニア
little-endian,リトルエンディアン
load balancing,負荷分散
load,ロード
loadable modules,ロードモジュール
loader,ローダ
loading,ローディング
local access,ローカルアクセス
local block cache,ローカルブロックキャッシュ
local block,ローカルブロック
local buffer,ローカルバッファ
local byte order,ローカルバイトオーダー
local copies,ローカルコピー
local database,ローカルデータベース
local file,ローカルファイル
local flush,ローカルフラッシュ
local host,ローカルホスト
local loopback address,ローカルループバックアドレス
local loopback,ローカルループバック
local machine,ローカルマシン
local policy ,ローカルポリシー
local server,ローカルサーバ
local session,ローカルセッション
local sockets,ローカルソケット
local system,ローカルシステム
local tables,ローカルテーブル
local time,ローカルタイム
local transaction,ローカルトランザクション
local tuple,ローカルタプル
local user,ローカルユーザ
local,ローカル
locale category,ロケールカテゴリ
locale checking,ロケールチェック
locale data,ロケールデータ
locale support,ロケールサポート
locale,ロケール
localhost,ローカルホスト
localization,多言語対応
lock data,ロックデータ
lock files,ロックファイル
lock manager,ロックマネージャ
lock mode,ロックモード
lock table,ロックテーブル
lock timeouts,ロックタイムアウト
lock,ロック
locking system,ロックシステム
lockup,ロックアップ
log archive,ログアーカイブ
log collector,ログコレクタ
log data,ログデータ
log file,ログファイル
log level,ログレベル
log messages,ログメッセージ
log record,ログレコード
log rotation tool,ログローテーションツール
log rotation,ログローテーション
log segment file,ログセグメントファイル
log segment,ログセグメント
log sequence,ログシーケンス
log shipping,ログシッピング
log stream,ログストリーム
log table,ログテーブル
log,ログ
log-file manager,ログファイルマネージャ
log-shipping standby server,ログシッピングスタンバイサーバ
logged into,ログオン
logging collector,logging collector
logging options,ロギングオプション
logging parameters,ロギングパラメータ
logging,ロギング
logic error,ロジックエラー
logic system,論理システム
logic,ロジック
logical change sets,ロジカルチェンジセット
logical decoding interface,論理デコードインタフェース
logical decoding,ロジカルデコーディング
logical replication slot,ロジカルレプリケーションスロット
logical replication,ロジカルレプリケーション
logical,ロジカル
logical,論理
logical-decoding data,ロジカルデコーディングデータ
login host,ログインホスト
login role,ログインロール
login,ログイン
london,ロンドン
loop labels,ループラベル
Loop node,ループノード
loop,ループ
lossy,非可逆
low temperature,最低気温
MAC address,MACアドレス
machine addressing,マシンアドレス
machine architecture,マシンアーキテクチャ
machine object,マシンオブジェクト
machine,マシン
Macquarie,マッコーリー島
macro,マクロ
magic block,マジックブロック
magic number,マジックナンバー
mailing list,メーリングリスト
main copy,メインコピー
main database engine,メインデータベースエンジン
main lock table,メインロックテーブル
main loop,メインループ
main parser,メインパーサ
main server process,メインサーバプロセス
main server,メインサーバ
main table,メインテーブル
Main,メイン
maintenance commands,メンテナンスコマンド
maintenance level,メンテナンスレベル
maintenance,メンテナンス
major mode,メジャーモード
major release,メジャーリリース
major upgrade,メジャーアップグレード
major version,メジャーバージョン
major,メジャー
make,make
Makefile,メークファイル
makefiles,makefile
man page,マニュアルページ
man system,マニュアルシステム
management,管理
manager interface,マネージャインタフェース
manager,マネージャ
manipulation,操作
manual page,マニュアルページ
manual,マニュアル
map file,マップファイル
map,マップ
mapping file,マッピングファイル
mapping,マッピング
mapping,写像
margin,マージン
mark,マーク
marking,マーキング
markup,マークアップ
mary,メアリー
mask,マスク
master database cluster,マスターデータベースクラスタ
master key,マスタキー
master mode,マスターモード
master process,マスタープロセス
master process,マスタプロセス
master repository,マスタリポジトリ
master server process,マスタサーバプロセス
master server,マスターサーバ
master server,マスタサーバ
master table,マスターテーブル
master table,マスタテーブル
master,マスタ
master,マスター
master-standby replication,マスタ・スタンバイレプリケーション
match,マッチ
matching,マッチング
materialize nodes,ノードマテリアライゼーション
materialize,マテリアライズ
materialized view,マテリアライズドビュー
mathematical model,数学的モデル
matrix,マトリクス
Mauritius,モーリシャス
max,最大
MB,メガバイト
mechanism,メカニズム
mechanism,機構
media access control,メディアアクセスコントロール
media,メディア
median,中央値(メジアン)
megabyte,メガバイト
member fields,メンバフィールド
member machine,メンバマシン
member object,メンバオブジェクト
member relations,メンバーリレーション
member,メンバ
members,メンバー
membership,メンバーシップ
membership,メンバシップ
membership,メンバ資格
memory access,メモリアクセス
memory address,メモリアドレス
memory allocation,メモリアロケーション
memory barrier,メモリバリア
memory blocks,メモリブロック
memory buffers,メモリバッファ
memory context,メモリコンテキスト
memory copying,メモリコピー
memory errors,メモリーエラー
memory leak,メモリーリーク
memory leak,メモリリーク
memory model,メモリモデル
memory overcommit,メモリオーバーコミット
memory parameters,メモリパラメータ
memory queue,メモリキュー
memory segment,メモリセグメント
memory size,メモリサイズ
memory support,メモリサポート
memory,メモリ
memory,メモリー
memory-based,メモリベース
merge join,マージ結合
merge,マージ
Merge-Append,マージ、アペンド
mergejoin,マージ結合
merit,メリット
message catalog files,メッセージカタログファイル
message catalog,メッセージカタログ
message fields,メッセージフィールド
message format,メッセージフォーマット
message level,メッセージレベル
message queue,メッセージキュー
message sets,メッセージセット
message stream,メッセージストリーム
message text,メッセージテキスト
message,メッセージ
message-based,メッセージベース
message-digest,メッセージダイジェスト
meta,メタ
meta-command,メタコマンド
metadata,メタデータ
metapage,メタページ
meter,メートル
method,メソッド
Metlakatla,メトラカトラ
Mexico,メキシコ
micro,マイクロ
Micronesian,ミクロネシア
middleware,ミドルウェア
migration,移行
miles,マイル
millennium,ミレニアム
millisecond,ミリ秒
minor release levels,マイナーリリースレベル
minor release,マイナーリリース
minor version,マイナーバージョン
minor,マイナー
minus zero,マイナスゼロ
minus,マイナス
mirror site,ミラーサイト
mirror,ミラー
mirroring,ミラーリング
misspellings,ミススペル
mistake,ミス
mixed,混在
mnemonic,記憶の助け
mode flags,モードフラグ
mode options,モードオプション
mode,モード
model,モデル
modifier,修飾子
modifying,変更
modules interfacing,インタフェースモジュール
modules,モジュール
Moldova,モルドバ
Mongolia,モンゴル
monitor,モニタ
monitoring tools,モニタリングツール
monitoring,監視
Morocco,モロッコ
morphological dictionaries,形態論辞書
Moscow,モスクワ
mount option,マウントオプション
mount paths,マウントパス
mount point,マウントポイント
mount,マウント
moving-aggregate mode,移動集約モード
multi,マルチ
multi-byte encodings,マルチバイトエンコーディング
multi-byte,マルチバイト
multibyte encoding,マルチバイト符号化方式
multibyte,マルチバイト
multicast,マルチキャスト
multicolumn,複数列
multicore,マルチコア
multiple,マルチプル
multiple-process applications,マルチプロセスアプリケーション
multiple-thread programs,複数スレッドプログラム
multiprocess,マルチプロセス
multiprocessor,マルチプロセッサ
multitasking systems,マルチタスクシステム
multithread programs,マルチスレッドプログラム
multithread,マルチスレッド
multithreading option,マルチスレッドオプション
multitransaction,マルチトランザクション
multiuser,マルチユーザ
multiversion concurrency control,多版型同時実行制御
multiversion concurrency control,多版同時実行制御
multixact ID wraparound,マルチトランザクションIDの周回
multixact ID,マルチトランザクションID
mutation,突然変異
mutexes,ミューテクス
MVCC,MVCC
name,名前
named,記名的
named,名前付け
nanoseconds,ナノ秒
native build,ネイティブビルド
native code,ネイティブコード
native server,ネイティブサーバ
native support,ネイティブサポート
native,ネイティブ
natural join,自然結合
near-exhaustive search,しらみつぶしに近い検索
needs,ニーズ
negation,否定
negative lookahead,先行否定検索
negator,否定子
negotiation,ネゴシエーション
nepali language,ネパール語
nest,ネスト
nested loop join,ネストループジョイン
nested loop join,入れ子ループ結合
nested-loop index scan,入れ子状ループインデックススキャン
nested-loop join,入れ子状ループ結合
net services,ネットサービス
netmask fields,ネットマスクフィールド
netmask,ネットマスク
network address types,ネットワークアドレスデータ型
network address,ネットワークアドレス
network attached storage,ネットワークアタッチドストレージ
network byte order,ネットワークバイトオーダー
network byte order,ネットワークバイト順
network file system,ネットワークファイルシステム
network interfaces,ネットワークインターフェイス
network overhead,ネットワークオーバーヘッド
network packets,ネットワークパケット
network traffic,ネットワークトラフィック
network,ネットワーク
network-stream,ネットワークストリーム
new users,新規ユーザ
New York,ニューヨーク
New Zealand,ニュージーランド
newline,改行
no operation,ノーオペレーション
node label,ノードラベル
node set,ノードセット
node,ノード
noise,ノイズ
non-blocking,ノンブロック
non-bootstrap catalogs,非ブートストラップカタログ
non-durable,非永続性
non-fiction books,ノンフィクション小説
non-greedy,最短マッチを行う
non-greedy,最短マッチを行う（非欲張り型）
non-recursive term,非再帰的表現（non-recursiveterm）
non-reserved,未予約
non-session processes,非セッションプロセス
non-star label,非スターラベル
non-superusers,非スーパーユーザ
nonblocking connection,非ブロッキング接続
nonblocking mode,非ブロックモード
nonmasked bits,非マスクビット
nonnegative,非負
nonnull,非NULL
nonrepeatable read,反復不能読み取り
Norfolk Island,ノーフォーク島
normalization,正規化
normalize,正規化
North American east,北アメリカ東海岸
North Korea,北朝鮮
Norwegian dictionary,ノルウェー辞書
not a number,非数
not-null constraint,非NULL制約
note,ノート
note,注意
notification,通知
notifier,通知者
Novokuznetsk,ノヴォクズネツク
null bitmap,ヌルビットマップ
null byte,ヌルバイト
null marker,ヌルマーカ
null pointer,ヌルポインタ
null value,NULL値
null,null
null,ヌル
object access,オブジェクトアクセス
object code file,オブジェクトコードファイル
object code,オブジェクトコード
object field,オブジェクトフィールド
object file,オブジェクトファイル
object id,オブジェクト id
object identifier,オブジェクト識別子
object key,オブジェクトキー
object manager,オブジェクトマネージャ
object size,オブジェクトサイズ
object support,オブジェクトサポート
object visibility,オブジェクトの可視性
object,オブジェクト
object-relational database,オブジェクトリレーショナルデータベース
octet,オクテット
ODBC,ODBC
off,オフ
off-site data storage,オフサイトデータストレージ
office suite,オフィススイート
official documentation,オフィシャルドキュメント
offline,オフライン
offset,オフセット
oid,oid
on,オン
one-to-many,1対多
online backup mode,オンラインバックアップモード
online backup,オンラインバックアップ
online transaction,オンライントランザクション
online,オンライン
open file,オープンファイル
open source,オープンソース
open,オープン
open,開いている
open-source database,オープンソースデータベース
open-source project,オープンソースプロジェクト
open-source,オープンソース
opened,開かれる
operand,オペランド
operand,演算項目
operating system cache,オペレーティングシステムキャッシュ
operating system level,オペレーティングシステムレベル
operating system user,オペレーティングシステムユーザ
operating system utilities,オペレーティングシステムユーティリティ
operating system,オペレーティングシステム
operating-system calls,オペレーティングシステムコール
operation,オペレーション
operation,操作
operator class,演算子クラス
operator family,演算子族
operator,演算子
optimization,最適化
optimize,最適化
optimizer,オプティマイザ
option key,オプションキー
optional key word,オプションキーワード
optional modules,オプションモジュール
optional parameters,オプションパラメータ
optional,オプショナル
options field,オプションフィールド
options list,オプションリスト
options,オプション
Oracle,オラクル
order,オーダー
ordered set,順序集合
ordered-set aggregate,順序集合集約
ordered-set,順序集合
ordering operator,順序付け演算子
ordering operators,順序付け演算子
ordering,順序付け
ordinal number,序数
ordinality,順序性
original data,オリジナルデータ
original text,オリジナル文書
original version,オリジナルバージョン
original,オリジナル
outer join,外部結合
output parameters,出力パラメータ
overcommit mode,オーバーコミットモード
overcommit,オーバーコミット
overflow,オーバーフロー
overflow,オーバフロー
overhaul,オーバーホール
overhead,オーバーヘッド
overhead,オーバヘッド
overlapping matches,オーバラップマッチ
overload,オーバーロード
overloading,オーバーロード
override,オーバーライド
override,オーバライド
overrun,オーバーラン
overrun,オーバラン
overview,概要
owner,所有者
pace,ペース
pack,パック
package,パッケージ
package-based,パッケージベース
package-level,パッケージレベル
packages,パッケージソフト
packaging system,パッケージシステム
packet,パケット
pad,パッド
padding bytes,パディングバイト
padding,パディング
page checksum,ページチェックサム
page header,ページヘッダ
page image,ページイメージ
page layout,ページレイアウト
page locks,ページ・ロック
page size,ページサイズ
page snapshots,ページスナップショット
page status bit,ページステータスビット
page tables,ページテーブル
page,ページ
page-level locks,ページレベルロック
page-level,ページレベル
paged out,ページアウト
pager,ページャ
pages,ページ
paging space,ページングスペース
pair,ペア
Pakistan,パキスタン
Palestine,パレスチナ
panic message,パニックメッセージ
panic,パニック
Papua New Guinea,パプアニューギニア
Paraguay,パラグアイ
parallel universes,パラレルユニバース
parameter data,パラメータデータ
parameter key words,パラメータキーワード
parameter list,パラメータリスト
parameter placeholders,パラメータプレースホルダ
parameter symbol,パラメータシンボル
parameter type,パラメータタイプ
parameter,パラメータ
parent,親
parentheses,カッコ
Paris,パリ
Parity,パリティ
parse node,パースノード
parse tree,構文解析ツリー
parse,解析
parser errors,パーサエラー
parser hooks,パーサフック
parser stage,構文解析過程
parser tools,パーサツール
parser,パーサ
parsing,パース
part,パート
partial index,部分インデックス
Partition key,パーティションキー
partition table,パーティションテーブル
partition,パーティション
partitioned tables,テーブルパーティション
partitioning,パーティショニング
passphrase,パスフレーズ
passthrough,通過地点
password field,パスワードフィールド
password file,パスワードファイル
password hashing,パスワードハッシュ化
password policies,パスワードポリシー
password prompt,パスワードプロンプト
password,パスワード
paste,ペースト
patch review,パッチレビュー
patch,パッチ
path,パス
paths,経路
pattern indexes,パターンインデックス
pattern match,パターンマッチ
pattern matching,パターンマッチ
pattern matching,パターンマッチング
pattern searching,パターンサーチ
pattern,パターン
pattern-matching metacharacters,パターンマッチメタ文字
payload,ペイロード
PDF documentation formats,PDFドキュメントフォーマット
peak,ピーク
peer authentication,peer認証
peer authentication,ピア認証
peer groups,ピアのグループ
peer,同等な
peers,ピア
penalty,ペナルティ
per-row,行単位の
per-statement,文単位の
percent,パーセント
percent-encode,パーセントエスケープ
percentile,パーセンタイル
percentile,百分位数
Performance Tips,性能に関するヒント
performance tuning,パフォーマンスチューニング
performance,パフォーマンス
performance,性能
period,ピリオド
permanent table,永続テーブル
permission check,パーミッションチェック
permission,パーミッション
permission,権限
permission,権利
permissions check,権限チェック
permissive mode,パーミッシブモード
pg_upgrade,pg_upgrade
phantom read,ファントムリード
phrase,語句
physical storage,物理的な格納
physical,物理的
pin,ピン
ping,ピング
pipe,パイプ
pipeline,パイプライン
PITR standby,PITRスタンバイ
pivot,ピボット
placeholder,プレースホルダ
plain text,プレインテキスト
plan node,プランノード
plan nodes,計画ノード
plan tree,計画ツリー
plan,プラン
plan,計画
planner code,プランナコード
planner cost,プランナコスト
planner data,プランナデータ
planner error,プランナエラー
planner method,プランナメソッド
planner options,プランナオプション
planner,プランナ
planner,問い合わせ計画
planner/optimizer,プランナ/オプティマイザ
platform,プラットフォーム
platform,プラットホーム
plug-in,プラグイン
pluggable,プラガブル
plugin callbacks,プラグインコールバック
plus,プラス
point,ポイント
point-in-time recovery,ポイントインタイムリカバリ
Point-in-time,ポイントインタイム
pointer datum,ポインタデータ
pointer,ポインタ
pointer,ポインター
poisoning,ポイズニング
poisson,ポアソン
poland,ポーランド
policy package,ポリシーパッケージ
policy,ポリシー
polling,ポーリング
polygon,ポリゴン
polymorphic function,多様関数
polymorphic type,多様型
polymorphic types,多様型
polymorphic,多様引数
pool size,プールサイズ
pool,プール
pop,ポップ
pop-up,ポップアップ
population,群
population,母集団
port forwarding,ポートフォワード
port,ポート
port,移植
port,移植性
portal object,ポータルオブジェクト
portal parameters,ポータルパラメータ
portal,ポータル
Porter,ポーター
Portugal,ポルトガル
position-independent code,位置独立なコード
positional,位置
positional,位置的
positions,位置
positive lookahead,先行肯定検索
post-process,後処理
POSTGRES,POSTGRES
PostgreSQL,PostgreSQL
posting list,ポスティングリスト
power set,べき集合
power,パワー
pragma,プラグマ
precipitation,降水量
precision,精度
precompiled,プリコンパイル
precompiler,プリコンパイラ
predicate locking,述語ロック
predicate,述語
predicates,述語
preface,はじめに
preferred types,型カテゴリ
prefetch,プレフェッチ
prefix,プレフィックス
prefix,接頭辞
preload,プリロード
preloading a library,プリロードライブラリ
prepare,プリペア
prepared command,プリペアドコマンド
prepared query,プリペアードクエリ
prepared statement,プリペアドステートメント
prepared statement,準備済みの文
prepared statements,プリペアド文
prepared transaction,プリペアードトランザクション
prepared transaction,プリペアドトランザクション
prepared transaction,準備済みのトランザクション
prepared,プリペアド
preparing a query,問い合わせの準備
preprocess,前処理
preprocessor program,プリプロセッサプログラム
preprocessor,プリプロセッサ
prewarm,プレウォーム
primary heap disk file,プライマリヒープディスクファイル
primary keepalive message,プライマリキープアライブメッセージ
primary key field,主キーフィールド
primary key,主キー
primary node,プライマリノード
primary server,プライマリーサーバ
primary server,プライマリサーバ
primary system,プライマリシステム
primary,プライマリ
primary,プライマリー
primitive,プリミティブ
principal,プリンシパル
print,プリント
privacy handbook,プライバシーハンドブック
private data,プライベートデータ
private fields,プライベートフィールド
private,プライベート
privilege,権限
probe parameters,プローブパラメータ
probe points,プローブポイント
probe,プローブ
procedural language,手続き言語
